character,unicode,short description,tags,LLM description
🇨🇳,U+1F1E8 1F1F3,CHINA,['China' 'flag' 'culture' 'history' 'landmark' 'technology' 'cuisine'],"This emoji represents China, a country with a rich history, diverse culture, and a significant impact on global affairs, known for its ancient civilization, landmarks like the Great Wall, and contributions to technology and cuisine."
🇨🇽,U+1F1E8 1F1FD,CHRISTMAS ISLAND,"['Christmas Island' 'flag' 'Australia' 'wildlife' 'beaches' 'nature'
 'migration']","This emoji represents Christmas Island, a territory of Australia known for its unique wildlife, beautiful beaches, and the annual Christmas Island red crab migration."
🎄,U+1F384,CHRISTMAS TREE,"['Christmas tree' 'holiday' 'celebration' 'decoration' 'festive' 'winter'
 'Christmas']","This emoji represents a Christmas tree, an evergreen conifer decorated with lights, ornaments, and a star, symbolizing the celebration of Christmas and the arrival of the holiday season."
🇨🇵,U+1F1E8 1F1F5,CLIPPERTON ISLAND,"['Clipperton Island' 'French territory' 'Pacific Ocean' 'island'
 'geography' 'history']","This emoji represents Clipperton Island, a small, uninhabited French territory located in the Pacific Ocean, known for its unique history and geographical features."
🇨🇨,U+1F1E8 1F1E8,COCOS (KEELING) ISLANDS,"['Cocos (Keeling) Islands' 'flag' 'Indian Ocean' 'island' 'nature'
 'culture']","This emoji represents Cocos (Keeling) Islands, a small island group located in the Indian Ocean, known for its pristine beaches, diverse wildlife, and unique cultural heritage."
🇨🇴,U+1F1E8 1F1F4,COLOMBIA,['Colombia' 'flag' 'South America' 'culture' 'geography'],"This emoji represents Colombia, a country in South America known for its diverse landscapes, rich culture, and vibrant cities like Bogotá and Medellín."
🇰🇲,U+1F1F0 1F1F2,COMOROS,"['Comoros' 'flag' 'island' 'Indian Ocean' 'culture' 'Africa' 'Arab'
 'marine life' 'beach']","This emoji represents Comoros, an island country in the Indian Ocean known for its unique blend of African, Arab, and Malagasy cultures, as well as its beautiful beaches and diverse marine life."
🇨🇬,U+1F1E8 1F1EC,CONGO-BRAZZAVILLE,"['Congo-Brazzaville' 'flag' 'Africa' 'culture' 'heritage' 'wildlife'
 'natural resources']","This emoji represents the flag of Congo-Brazzaville, a Central African country known for its rich cultural heritage, diverse wildlife, and natural resources."
🇨🇩,U+1F1E8 1F1E9,CONGO-KINSHASA,['Congo-Kinshasa' 'flag' 'Africa' 'culture' 'history' 'wildlife'],"This emoji represents the Democratic Republic of the Congo, a Central African nation known for its rich cultural heritage, diverse wildlife, and complex history."
🇨🇰,U+1F1E8 1F1F0,COOK ISLANDS,"['Cook Islands' 'flag' 'South Pacific' 'Polynesian' 'culture' 'islands'
 'nature']","This emoji represents the Cook Islands, a group of islands in the South Pacific known for their beautiful beaches, rich Polynesian culture, and unique wildlife."
🇨🇷,U+1F1E8 1F1F7,COSTA RICA,['Costa Rica' 'flag' 'Central America' 'nature' 'wildlife' 'eco-tourism'],"This emoji represents Costa Rica, a Central American country known for its lush rainforests, diverse wildlife, and eco-tourism destinations."
🇭🇷,U+1F1ED 1F1F7,CROATIA,['Croatia' 'flag' 'Europe' 'coast' 'culture' 'history'],"This emoji represents Croatia, a southeastern European country known for its beautiful coastlines, rich history, and vibrant culture."
🇨🇺,U+1F1E8 1F1FA,CUBA,['Cuba' 'flag' 'Caribbean' 'culture' 'history'],"This emoji represents Cuba, a Caribbean island nation known for its rich history, vibrant culture, and iconic landmarks such as the Malecón seawall and the Capitolio building."
🇨🇼,U+1F1E8 1F1FC,CURAÇAO,['Curaçao' 'island' 'Caribbean' 'culture' 'beach' 'Dutch' 'history'],"This emoji represents Curaçao, a Caribbean island known for its vibrant culture, beautiful beaches, and rich history as a Dutch colony."
🇨🇾,U+1F1E8 1F1FE,CYPRUS,['Cyprus' 'flag' 'Mediterranean' 'island' 'culture' 'history'],"This emoji represents Cyprus, a Mediterranean island nation known for its rich history, beautiful beaches, and a blend of cultures including Greek and Turkish influences."
🇨🇿,U+1F1E8 1F1FF,CZECHIA,"['Czech Republic' 'flag' 'Central Europe' 'history' 'architecture'
 'culture']","This emoji represents the Czech Republic, a landlocked country in Central Europe known for its rich history, beautiful architecture, and contributions to science and culture."
🇨🇮,U+1F1E8 1F1EE,CÔTE D’IVOIRE,"[""Côte d'Ivoire"" 'Ivory Coast' 'West Africa' 'flag' 'culture' 'rainforest'
 'cocoa']","This emoji represents Côte d'Ivoire, also known as Ivory Coast, a West African country known for its diverse cultures, lush rainforests, and significant role in the cocoa industry."
🇩🇰,U+1F1E9 1F1F0,DENMARK,['Denmark' 'flag' 'Scandinavian' 'culture' 'history'],"This emoji represents Denmark, a Scandinavian country known for its rich history, beautiful landscapes, and contributions to culture, science, and technology."
🇩🇬,U+1F1E9 1F1EC,DIEGO GARCIA,"['Diego Garcia' 'British Overseas Territory' 'Chagos Archipelago'
 'Indian Ocean' 'military' 'wildlife']","This emoji represents Diego Garcia, a British Overseas Territory and the largest island of the Chagos Archipelago in the Indian Ocean, known for its strategic military importance and unique wildlife."
🇩🇯,U+1F1E9 1F1EF,DJIBOUTI,['Djibouti' 'flag' 'Africa' 'landscape' 'geography'],"This emoji represents Djibouti, a small African country known for its unique landscapes, including the Lake Assal, and its strategic location on the Horn of Africa."
🇩🇲,U+1F1E9 1F1F2,DOMINICA,['Dominica' 'flag' 'Caribbean' 'island' 'culture' 'rainforest' 'heritage'],"This emoji represents Dominica, a Caribbean island nation known for its lush rainforests, volcanic features, and a rich cultural heritage influenced by African, European, and indigenous roots."
🇩🇴,U+1F1E9 1F1F4,DOMINICAN REPUBLIC,"['Dominican Republic' 'flag' 'Caribbean' 'culture' 'history' 'music'
 'sports' 'festivals']","This emoji represents the Dominican Republic, a Caribbean country known for its beautiful beaches, rich history, and vibrant culture, including music, sports, and traditional festivals."
🔚,U+1F51A,END ARROW,['end' 'arrow' 'conclusion' 'termination' 'completion' 'finish' 'stop'],"This emoji represents an end arrow, often used to indicate the conclusion, termination, or completion of something."
🇪🇨,U+1F1EA 1F1E8,ECUADOR,['Ecuador' 'flag' 'South America' 'culture' 'nature' 'heritage'],"This emoji represents Ecuador, a country in South America known for its diverse landscapes, including the Andes Mountains, the Galapagos Islands, and the Amazon rainforest, as well as its rich cultural heritage and history."
🇪🇬,U+1F1EA 1F1EC,EGYPT,['Egypt' 'flag' 'history' 'civilization' 'ancient'],"This emoji represents Egypt, a country known for its ancient civilization, rich history, and iconic landmarks such as the Pyramids of Giza and the Sphinx."
🇸🇻,U+1F1F8 1F1FB,EL SALVADOR,['El Salvador' 'flag' 'Central America' 'culture' 'heritage'],"This emoji represents El Salvador, a Central American country known for its beautiful landscapes, rich cultural heritage, and vibrant traditions."
🏴󠁧󠁢󠁥󠁮󠁧󠁿,U+1F3F4 E0067 E0062 E0065 E006E E0067 E007F,ENGLAND,['England' 'United Kingdom' 'flag' 'culture' 'history' 'landmark'],"This emoji represents England, a country in the United Kingdom known for its rich history, culture, and iconic landmarks such as the Tower of London and Buckingham Palace."
🇬🇶,U+1F1EC 1F1F6,EQUATORIAL GUINEA,['Equatorial Guinea' 'flag' 'Africa' 'culture' 'rainforest' 'oil'],"This emoji represents Equatorial Guinea, a West African country known for its diverse culture, lush rainforests, and significant oil reserves."
🇪🇷,U+1F1EA 1F1F7,ERITREA,['Eritrea' 'flag' 'Africa' 'culture' 'history'],"This emoji represents Eritrea, a country in the Horn of Africa known for its diverse cultures, beautiful coastlines, and rich history dating back to ancient civilizations."
🇪🇪,U+1F1EA 1F1EA,ESTONIA,['Estonia' 'flag' 'Northern Europe' 'culture' 'history'],"This emoji represents Estonia, a Northern European country known for its rich history, beautiful landscapes, and thriving startup culture."
🇸🇿,U+1F1F8 1F1FF,ESWATINI,"['Eswatini' 'Swaziland' 'Africa' 'country' 'culture' 'landscape'
 'Swazi people']","This emoji represents Eswatini, also known as Swaziland, a small landlocked country in Southern Africa, known for its rich culture, diverse landscapes, and the Swazi people."
🇪🇹,U+1F1EA 1F1F9,ETHIOPIA,['Ethiopia' 'flag' 'Africa' 'culture' 'history'],"This emoji represents Ethiopia, a country in the Horn of Africa known for its rich history, diverse cultures, and unique landscapes, including the Great Rift Valley and the Ethiopian Highlands."
🇪🇺,U+1F1EA 1F1FA,EUROPEAN UNION,"['European Union' 'flag' 'Europe' 'unity' 'cooperation' 'politics'
 'economy']","This emoji represents the European Union, a political and economic union of 27 member states located primarily in Europe, symbolizing unity, cooperation, and shared values among its members."
🆓,U+1F193,FREE BUTTON,['free' 'button' 'availability' 'cost' 'accessibility' 'openness'],"This emoji represents a free button, often used to indicate that something is available without cost or charge, promoting a sense of openness and accessibility."
🇫🇰,U+1F1EB 1F1F0,FALKLAND ISLANDS,"['Falkland Islands' 'flag' 'British Overseas Territory'
 'South Atlantic Ocean' 'wildlife' 'penguins' 'seals' 'strategy']","This emoji represents the Falkland Islands, a British Overseas Territory located in the South Atlantic Ocean, known for its wildlife, including penguins and seals, and its strategic importance in the region."
🇫🇴,U+1F1EB 1F1F4,FAROE ISLANDS,['Faroe Islands' 'flag' 'Nordic' 'nature' 'culture' 'archipelago'],"This emoji represents the Faroe Islands, a self-governing archipelago located in the North Atlantic Ocean, known for its stunning landscapes, rich wildlife, and unique cultural heritage."
🇫🇯,U+1F1EB 1F1EF,FIJI,['Fiji' 'flag' 'island' 'culture' 'travel' 'nature'],"This emoji represents Fiji, a tropical island nation known for its beautiful beaches, vibrant coral reefs, and rich cultural heritage."
🇫🇮,U+1F1EB 1F1EE,FINLAND,"['Finland' 'flag' 'Nordic' 'culture' 'landscape' 'technology' 'heritage'
 'sauna' 'Sámi']","This emoji represents Finland, a Nordic country known for its beautiful landscapes, innovative technology, and rich cultural heritage, including the famous Finnish sauna and the unique Sámi people."
🇫🇷,U+1F1EB 1F1F7,FRANCE,['France' 'flag' 'culture' 'European' 'history' 'Eiffel Tower'],"This emoji represents France, a country known for its rich history, culture, landmarks like the Eiffel Tower, and contributions to art, fashion, and cuisine."
🇬🇫,U+1F1EC 1F1EB,FRENCH GUIANA,['French Guiana' 'flag' 'South America' 'culture' 'rainforest' 'wildlife'],"This emoji represents French Guiana, a region in South America with a rich cultural heritage and diverse ecosystems, known for its dense rainforests and unique wildlife."
🇵🇫,U+1F1F5 1F1EB,FRENCH POLYNESIA,"['French Polynesia' 'flag' 'islands' 'South Pacific' 'culture'
 'Polynesian']","This emoji represents French Polynesia, a collection of islands in the South Pacific known for their stunning landscapes, vibrant culture, and rich Polynesian heritage."
🇹🇫,U+1F1F9 1F1EB,FRENCH SOUTHERN TERRITORIES,"['French Southern Territories' 'flag' 'territory' 'Indian Ocean' 'France'
 'research' 'conservation']","This emoji represents the French Southern and Antarctic Territories, a group of islands and territories in the Indian Ocean, administered by France and used for scientific research and conservation efforts."
🇬🇦,U+1F1EC 1F1E6,GABON,['Gabon' 'flag' 'Africa' 'culture' 'rainforest' 'wildlife'],"This emoji represents Gabon, a West Central African country known for its lush rainforests, diverse wildlife, and rich cultural heritage."
🇬🇲,U+1F1EC 1F1F2,GAMBIA,['Gambia' 'flag' 'Africa' 'culture' 'history' 'wildlife'],"This emoji represents the Gambia, a small West African country known for its rich history, diverse wildlife, and vibrant culture."
♊,U+264A,GEMINI,"['Gemini' 'zodiac' 'duality' 'adaptability' 'communication' 'twins'
 'astrology']","This emoji represents Gemini, the third astrological sign in the zodiac, symbolizing duality, adaptability, and communication, often associated with the twins in Greek mythology."
🇬🇪,U+1F1EC 1F1EA,GEORGIA,['Georgia' 'flag' 'Eastern Europe' 'culture' 'history'],"This emoji represents Georgia, a country in Eastern Europe known for its rich history, diverse landscapes, and unique cultural heritage."
🇩🇪,U+1F1E9 1F1EA,GERMANY,['Germany' 'flag' 'Europe' 'culture' 'history'],"This emoji represents Germany, a country in Europe known for its rich history, culture, and contributions to science, technology, and arts."
🇬🇭,U+1F1EC 1F1ED,GHANA,['Ghana' 'flag' 'Africa' 'culture' 'music'],"This emoji represents Ghana, a West African country known for its rich history, diverse cultures, and vibrant music scene, including the famous highlife genre."
🇬🇮,U+1F1EC 1F1EE,GIBRALTAR,['Gibraltar' 'flag' 'British' 'Iberian Peninsula' 'history'],"This emoji represents Gibraltar, a British Overseas Territory located at the southern tip of the Iberian Peninsula, known for its iconic Rock of Gibraltar and rich history."
🇬🇷,U+1F1EC 1F1F7,GREECE,['Greece' 'flag' 'culture' 'history' 'travel' 'ancient civilization'],"This emoji represents Greece, a country known for its rich history, ancient civilization, and iconic landmarks such as the Parthenon, as well as its beautiful islands and vibrant culture."
